num_impute,cate_impute,scale,pca,encode,r2
mean,none,none,pca_0.99_auto,onehot,0.012917695976541466
mean,none,none,pca_0.99_auto,ordinal,0.0128387672785234
mean,none,standard,none,onehot,0.9515555695619863
mean,none,standard,none,ordinal,0.6830211988238453
mean,none,standard,pca_0.95_auto,onehot,0.9515555695619909
mean,none,standard,pca_0.95_auto,ordinal,0.6830211988237923
mean,none,standard,pca_0.95_full,onehot,0.9515555695619861
mean,none,standard,pca_0.95_full,ordinal,0.6830211988237186
mean,none,standard,pca_0.99_auto,onehot,0.9515555695619861
mean,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
mean,none,standard,pca_0.99_auto,onehot,0.9515555695619861
mean,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
mean,none,minmax,none,onehot,-8029.2825734784865
mean,none,minmax,none,ordinal,-37550.20560929656
mean,none,minmax,pca_0.95_auto,onehot,-5712.931341013559
mean,none,minmax,pca_0.95_auto,ordinal,-40787.82332416398
mean,none,minmax,pca_0.95_full,onehot,-5577.490614029699
mean,none,minmax,pca_0.95_full,ordinal,-35643.29193888496
mean,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
mean,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
mean,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
mean,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
mean,none,robust,none,onehot,0.40331291487048615
mean,none,robust,none,ordinal,0.5038674101181732
mean,none,robust,pca_0.95_auto,onehot,0.11360235944110775
mean,none,robust,pca_0.95_auto,ordinal,0.07792032825525141
mean,none,robust,pca_0.95_full,onehot,0.11360235944107855
mean,none,robust,pca_0.95_full,ordinal,0.07792032825520956
mean,none,robust,pca_0.99_auto,onehot,0.11360235944107855
mean,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
mean,none,robust,pca_0.99_auto,onehot,0.11360235944107855
mean,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
mean,none,log1p_robust,none,onehot,0.9622273704011
mean,none,log1p_robust,none,ordinal,0.8782556430356855
mean,none,log1p_robust,pca_0.95_auto,onehot,0.9622290236570354
mean,none,log1p_robust,pca_0.95_auto,ordinal,0.8786044585701757
mean,none,log1p_robust,pca_0.95_full,onehot,0.9622290236570361
mean,none,log1p_robust,pca_0.95_full,ordinal,0.8786044585701565
mean,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
mean,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
