num_impute,cate_impute,scale,pca,encode,r2
mean,none,none,pca_0.99_auto,onehot,0.7776320135921776
mean,none,none,pca_0.99_auto,ordinal,0.7675391289789208
mean,none,standard,none,onehot,0.9934806506533083
mean,none,standard,none,ordinal,0.9922825547697837
mean,none,standard,pca_0.95_auto,onehot,0.9953558081549435
mean,none,standard,pca_0.95_auto,ordinal,0.9947891230522433
mean,none,standard,pca_0.95_full,onehot,0.995305820279337
mean,none,standard,pca_0.95_full,ordinal,0.9947675421038846
mean,none,standard,pca_0.99_auto,onehot,0.9951227738857493
mean,none,standard,pca_0.99_auto,ordinal,0.994961536965791
mean,none,standard,pca_0.99_auto,onehot,0.9954565448276528
mean,none,standard,pca_0.99_auto,ordinal,0.9948896372265456
mean,none,minmax,none,onehot,0.9902309797903839
mean,none,minmax,none,ordinal,0.990222612219511
mean,none,minmax,pca_0.95_auto,onehot,0.9946381376201078
mean,none,minmax,pca_0.95_auto,ordinal,0.9943556235624222
mean,none,minmax,pca_0.95_full,onehot,0.9945772845914764
mean,none,minmax,pca_0.95_full,ordinal,0.9950429668298784
mean,none,minmax,pca_0.99_auto,onehot,0.9950954161780323
mean,none,minmax,pca_0.99_auto,ordinal,0.9941046953135029
mean,none,minmax,pca_0.99_auto,onehot,0.995731303229639
mean,none,minmax,pca_0.99_auto,ordinal,0.9942486416935539
mean,none,robust,none,onehot,0.990909748359728
mean,none,robust,none,ordinal,0.9913552207286005
mean,none,robust,pca_0.95_auto,onehot,0.9281904422244512
mean,none,robust,pca_0.95_auto,ordinal,0.9148435516295473
mean,none,robust,pca_0.95_full,onehot,0.9286527294652445
mean,none,robust,pca_0.95_full,ordinal,0.9114404055539477
mean,none,robust,pca_0.99_auto,onehot,0.9319305951699031
mean,none,robust,pca_0.99_auto,ordinal,0.9129989412314194
mean,none,robust,pca_0.99_auto,onehot,0.9303794906908152
mean,none,robust,pca_0.99_auto,ordinal,0.9149225280983345
mean,none,log1p_robust,none,onehot,0.991831497402762
mean,none,log1p_robust,none,ordinal,0.9904738220604116
mean,none,log1p_robust,pca_0.95_auto,onehot,0.9894893242536441
mean,none,log1p_robust,pca_0.95_auto,ordinal,0.9894885977505254
mean,none,log1p_robust,pca_0.95_full,onehot,0.9895624527108534
mean,none,log1p_robust,pca_0.95_full,ordinal,0.9893704108509145
mean,none,log1p_robust,pca_0.99_auto,onehot,0.989660951182613
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.9900248815910109
mean,none,log1p_robust,pca_0.99_auto,onehot,0.9892826946901829
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.9894452134781868
mean,most,none,none,onehot,0.9934561426918765
mean,most,none,none,ordinal,0.9902825969274069
mean,most,none,pca_0.95_auto,onehot,0.7769591456510387
mean,most,none,pca_0.95_auto,ordinal,0.7695785885806924
mean,most,none,pca_0.95_full,onehot,0.7759214922359139
mean,most,none,pca_0.95_full,ordinal,0.7691038942447643
mean,most,none,pca_0.99_auto,onehot,0.7776136004705019
mean,most,none,pca_0.99_auto,ordinal,0.7657865746220008
mean,most,none,pca_0.99_auto,onehot,0.7766617716508769
mean,most,none,pca_0.99_auto,ordinal,0.7705416303702107
mean,most,standard,none,onehot,0.9934977288315222
mean,most,standard,none,ordinal,0.9940253617395373
mean,most,standard,pca_0.95_auto,onehot,0.9954164238177058
mean,most,standard,pca_0.95_auto,ordinal,0.9949267365675207
mean,most,standard,pca_0.95_full,onehot,0.9953714810034212
mean,most,standard,pca_0.95_full,ordinal,0.9949106712952104
mean,most,standard,pca_0.99_auto,onehot,0.995406243516104
mean,most,standard,pca_0.99_auto,ordinal,0.9948143951670442
mean,most,standard,pca_0.99_auto,onehot,0.9954854814689208
mean,most,standard,pca_0.99_auto,ordinal,0.9944222788293853
mean,most,minmax,none,onehot,0.9931264574173367
mean,most,minmax,none,ordinal,0.9913974208982842
mean,most,minmax,pca_0.95_auto,onehot,0.9938504015240752
mean,most,minmax,pca_0.95_auto,ordinal,0.9940571935513238
mean,most,minmax,pca_0.95_full,onehot,0.9938512186701434
mean,most,minmax,pca_0.95_full,ordinal,0.9951159705111421
mean,most,minmax,pca_0.99_auto,onehot,0.9947189413221359
mean,most,minmax,pca_0.99_auto,ordinal,0.9956104083406058
mean,most,minmax,pca_0.99_auto,onehot,0.9943126678516975
