num_impute,cate_impute,scale,pca,encode,r2
mean,none,minmax,pca_0.95_auto,ordinal,0.9479039520384878
mean,none,minmax,pca_0.95_full,onehot,0.9755199679034263
mean,none,minmax,pca_0.95_full,ordinal,0.9640690754345543
mean,none,minmax,pca_0.99_auto,onehot,0.974486223043123
mean,none,minmax,pca_0.99_auto,ordinal,0.9547947945378379
mean,none,minmax,pca_0.99_full,onehot,0.9720494464558146
mean,none,minmax,pca_0.99_full,ordinal,0.9263862103063465
mean,none,robust,none,onehot,0.9629601422441354
mean,none,robust,none,ordinal,0.9582710375652054
mean,none,robust,pca_0.95_auto,onehot,0.539739319967961
mean,none,robust,pca_0.95_auto,ordinal,0.37743297620900607
mean,none,robust,pca_0.95_full,onehot,0.5071686604294074
mean,none,robust,pca_0.95_full,ordinal,0.5405319194498545
mean,none,robust,pca_0.99_auto,onehot,0.5726479835370433
mean,none,robust,pca_0.99_auto,ordinal,0.4368456778849804
mean,none,robust,pca_0.99_full,onehot,0.48883511898293286
mean,none,robust,pca_0.99_full,ordinal,0.5269470027788116
mean,none,log1p_robust,none,onehot,0.9785620607419078
mean,none,log1p_robust,none,ordinal,0.9750221236338851
mean,none,log1p_robust,pca_0.95_auto,onehot,0.9786525055310669
mean,none,log1p_robust,pca_0.95_auto,ordinal,0.9687005071723829
mean,none,log1p_robust,pca_0.95_full,onehot,0.9755236958616303
mean,none,log1p_robust,pca_0.95_full,ordinal,0.9781969330403886
mean,none,log1p_robust,pca_0.99_auto,onehot,0.9801757197216209
mean,none,log1p_robust,pca_0.99_auto,ordinal,0.9745845387651542
mean,none,log1p_robust,pca_0.99_full,onehot,0.9807690923862115
mean,none,log1p_robust,pca_0.99_full,ordinal,0.970449270914967
mean,most,standard,none,onehot,0.9681421929171792
mean,most,standard,none,ordinal,0.9770144447336022
mean,most,standard,pca_0.95_auto,onehot,0.9789839644194631
mean,most,standard,pca_0.95_auto,ordinal,0.97080491564878
mean,most,standard,pca_0.95_full,onehot,0.9754217586389389
mean,most,standard,pca_0.95_full,ordinal,0.9614827216764694
mean,most,standard,pca_0.99_auto,onehot,0.9720225911843742
mean,most,standard,pca_0.99_auto,ordinal,0.960778091383554
mean,most,standard,pca_0.99_full,onehot,0.977042233155545
mean,most,standard,pca_0.99_full,ordinal,0.9639954660322771
mean,most,minmax,none,onehot,0.9718198629856194
mean,most,minmax,none,ordinal,0.9530494676992274
mean,most,minmax,pca_0.95_auto,onehot,0.9750273387071565
mean,most,minmax,pca_0.95_auto,ordinal,0.9688404552102758
mean,most,minmax,pca_0.95_full,onehot,0.9668631870171204
mean,most,minmax,pca_0.95_full,ordinal,0.9420564797557864
mean,most,minmax,pca_0.99_auto,onehot,0.969637597906993
mean,most,minmax,pca_0.99_auto,ordinal,0.9430786274296656
mean,most,minmax,pca_0.99_full,onehot,0.970075733006907
mean,most,minmax,pca_0.99_full,ordinal,0.9639915065562559
mean,most,robust,none,onehot,0.9706691585313623
mean,most,robust,none,ordinal,0.8802413934247614
mean,most,robust,pca_0.95_auto,onehot,0.5450658802462465
