num_impute,cate_impute,scale,pca,encode,f1
mean,most,none,pca_0.99_auto,ordinal,0.89171974522293
mean,most,none,pca_0.99_full,onehot,0.8826638477801269
mean,most,none,pca_0.99_full,ordinal,0.8928759894459103
mean,most,standard,none,onehot,0.9058633674018289
mean,most,standard,none,ordinal,0.9050701186623517
mean,most,standard,pca_0.95_auto,onehot,0.8858495528669121
mean,most,standard,pca_0.95_auto,ordinal,0.8840125391849529
mean,most,standard,pca_0.95_full,onehot,0.8871391076115486
mean,most,standard,pca_0.95_full,ordinal,0.8860892388451443
mean,most,standard,pca_0.99_auto,onehot,0.8820136339800734
mean,most,standard,pca_0.99_auto,ordinal,0.8805891635981062
mean,most,standard,pca_0.99_full,onehot,0.8852802514405448
mean,most,standard,pca_0.99_full,ordinal,0.8814814814814815
mean,most,minmax,none,onehot,0.9050938337801608
mean,most,minmax,none,ordinal,0.9087965461413924
mean,most,minmax,pca_0.95_auto,onehot,0.9090909090909091
mean,most,minmax,pca_0.95_auto,ordinal,0.9094827586206896
mean,most,minmax,pca_0.95_full,onehot,0.9126941617568292
mean,most,minmax,pca_0.95_full,ordinal,0.9064516129032258
mean,most,minmax,pca_0.99_auto,onehot,0.9122994652406418
mean,most,minmax,pca_0.99_auto,ordinal,0.9029490616621983
mean,most,minmax,pca_0.99_full,onehot,0.9112299465240642
mean,most,minmax,pca_0.99_full,ordinal,0.9083063646170443
median,none,none,none,onehot,0.9054779806659506
median,none,none,none,ordinal,0.9093851132686084
median,none,none,pca_0.95_auto,onehot,0.8554540569586244
median,none,none,pca_0.95_auto,ordinal,0.8551427032848681
median,none,none,pca_0.95_full,onehot,0.8851244044467973
median,none,none,pca_0.95_full,ordinal,0.8886532343584306
median,none,none,pca_0.99_auto,onehot,0.8805496828752643
median,none,none,pca_0.99_auto,ordinal,0.8904182106934886
median,none,none,pca_0.99_full,onehot,0.8803827751196173
median,none,none,pca_0.99_full,ordinal,0.8897136797454931
median,none,standard,none,onehot,0.9048898441698012
median,none,standard,none,ordinal,0.9071274298056156
median,none,standard,pca_0.95_auto,onehot,0.8874801901743264
median,none,standard,pca_0.95_auto,ordinal,0.881427072402938
median,none,standard,pca_0.95_full,onehot,0.8829113924050633
median,none,standard,pca_0.95_full,ordinal,0.878740157480315
median,none,standard,pca_0.99_auto,onehot,0.8891224382553863
median,none,standard,pca_0.99_auto,ordinal,0.8786127167630058
median,none,standard,pca_0.99_full,onehot,0.8863279203771608
median,none,standard,pca_0.99_full,ordinal,0.8808398950131233
median,none,minmax,none,onehot,0.9086050240513095
median,none,minmax,none,ordinal,0.9106566200215285
median,none,minmax,pca_0.95_auto,onehot,0.9126005361930295
median,none,minmax,pca_0.95_auto,ordinal,0.9067385444743935
median,none,minmax,pca_0.95_full,onehot,0.9139497594869054
median,none,minmax,pca_0.95_full,ordinal,0.9131138694009714
median,none,minmax,pca_0.99_auto,onehot,0.9105516871987145
median,none,minmax,pca_0.99_auto,ordinal,0.9065370070232307
median,none,minmax,pca_0.99_full,onehot,0.9109442060085837
median,none,minmax,pca_0.99_full,ordinal,0.9076175040518638
median,most,none,none,onehot,0.9102632993014508
median,most,none,none,ordinal,0.9025974025974026
median,most,none,pca_0.95_auto,onehot,0.8562162162162162
median,most,none,pca_0.95_auto,ordinal,0.8556034482758621
median,most,none,pca_0.95_full,onehot,0.8846560846560847
median,most,none,pca_0.95_full,ordinal,0.891005291005291
median,most,none,pca_0.99_auto,onehot,0.8825396825396825
median,most,none,pca_0.99_auto,ordinal,0.8891246684350133
median,most,none,pca_0.99_full,onehot,0.8808510638297873
median,most,none,pca_0.99_full,ordinal,0.8879492600422833
median,most,standard,none,onehot,0.9060654857756307
median,most,standard,none,ordinal,0.9111592632719393
median,most,standard,pca_0.95_auto,onehot,0.8865546218487395
median,most,standard,pca_0.95_auto,ordinal,0.8893550078657577
median,most,standard,pca_0.95_full,onehot,0.8844327176781003
median,most,standard,pca_0.95_full,ordinal,0.883989501312336
median,most,standard,pca_0.99_auto,onehot,0.8843322818086226
median,most,standard,pca_0.99_auto,ordinal,0.8830624016780283
median,most,standard,pca_0.99_full,onehot,0.8892388451443569
median,most,standard,pca_0.99_full,ordinal,0.886435331230284
median,most,minmax,none,onehot,0.9118279569892473
median,most,minmax,none,ordinal,0.9081022294725394
median,most,minmax,pca_0.95_auto,onehot,0.9113247863247863
median,most,minmax,pca_0.95_auto,ordinal,0.906047516198704
median,most,minmax,pca_0.95_full,onehot,0.9131832797427653
median,most,minmax,pca_0.95_full,ordinal,0.9054565099945975
median,most,minmax,pca_0.99_auto,onehot,0.9125799573560768
median,most,minmax,pca_0.99_auto,ordinal,0.908698001080497
median,most,minmax,pca_0.99_full,onehot,0.9093833780160858
median,most,minmax,pca_0.99_full,ordinal,0.9066378845116028
