num_impute,cate_impute,scale,pca,encode,f1
median,none,none,pca_0.95_full,ordinal,0.8706009745533297
median,none,none,pca_0.99_auto,onehot,0.8872260823089257
median,none,none,pca_0.99_auto,ordinal,0.8746048472075869
median,none,none,pca_0.99_full,onehot,0.8837209302325582
median,none,none,pca_0.99_full,ordinal,0.878900052882073
median,none,standard,none,onehot,0.880393227744402
median,none,standard,none,ordinal,0.8925081433224755
median,none,standard,pca_0.95_auto,onehot,0.8865753424657534
median,none,standard,pca_0.95_auto,ordinal,0.8905824714207947
median,none,standard,pca_0.95_full,onehot,0.8820286659316428
median,none,standard,pca_0.95_full,ordinal,0.8922742110990207
median,none,standard,pca_0.99_auto,onehot,0.8859504132231405
median,none,standard,pca_0.99_auto,ordinal,0.8890097932535365
median,none,standard,pca_0.99_full,onehot,0.8879168944778567
median,none,standard,pca_0.99_full,ordinal,0.8906926406926406
median,none,minmax,none,onehot,0.8800868149755833
median,none,minmax,none,ordinal,0.8893732970027248
median,none,minmax,pca_0.95_auto,onehot,0.886326194398682
median,none,minmax,pca_0.95_auto,ordinal,0.8887677208287895
median,none,minmax,pca_0.95_full,onehot,0.8752759381898455
median,none,minmax,pca_0.95_full,ordinal,0.8878205128205128
median,none,minmax,pca_0.99_auto,onehot,0.8916987355689939
median,none,minmax,pca_0.99_auto,ordinal,0.895855472901169
median,none,minmax,pca_0.99_full,onehot,0.8740906547285954
median,none,minmax,pca_0.99_full,ordinal,0.8880434782608696
median,most,none,none,onehot,0.9113513513513514
median,most,none,none,ordinal,0.8954907161803713
median,most,none,pca_0.95_auto,onehot,0.8596587782058338
median,most,none,pca_0.95_auto,ordinal,0.8610670892762811
median,most,none,pca_0.95_full,onehot,0.8817549491706795
median,most,none,pca_0.95_full,ordinal,0.8834745762711864
median,most,none,pca_0.99_auto,onehot,0.8880434782608696
median,most,none,pca_0.99_auto,ordinal,0.8744038155802861
median,most,none,pca_0.99_full,onehot,0.8869659275283938
median,most,none,pca_0.99_full,ordinal,0.8759439050701187
median,most,standard,none,onehot,0.8885227896760022
median,most,standard,none,ordinal,0.8905908096280087
median,most,standard,pca_0.95_auto,onehot,0.8861743475846752
median,most,standard,pca_0.95_auto,ordinal,0.8972162740899358
median,most,standard,pca_0.95_full,onehot,0.8844884488448845
median,most,standard,pca_0.95_full,ordinal,0.8859649122807017
median,most,standard,pca_0.99_auto,onehot,0.8887665198237885
median,most,standard,pca_0.99_auto,ordinal,0.8871681415929203
median,most,standard,pca_0.99_full,onehot,0.8803986710963455
median,most,standard,pca_0.99_full,ordinal,0.889967637540453
median,most,minmax,none,onehot,0.8860898138006572
median,most,minmax,none,ordinal,0.8958109559613319
median,most,minmax,pca_0.95_auto,onehot,0.8877941981390257
median,most,minmax,pca_0.95_auto,ordinal,0.8863512778684067
median,most,minmax,pca_0.95_full,onehot,0.8877833056937534
median,most,minmax,pca_0.95_full,ordinal,0.8909287257019438
median,most,minmax,pca_0.99_auto,onehot,0.8864628820960698
median,most,minmax,pca_0.99_auto,ordinal,0.889493739793141
median,most,minmax,pca_0.99_full,onehot,0.8814489571899012
median,most,minmax,pca_0.99_full,ordinal,0.8818031885651457
